2.55031	110.8260	330.22100	20.7980	19.552	3.373	21.795	
39.65460	284.5530	43.33270	284.5530	19.806	11.089	23.911	
20.13150	83.8374	325.40200	109.3340	22.471	-0.257	29.009	
38.31000	333.0830	2.19491	243.1630	25.156	-8.299	27.005	
36.20970	154.2090	333.13100	177.5740	14.857	-6.075	24.733	
29.90120	233.8380	65.70780	36.1883	20.005	-3.697	18.018	
2.55031	110.8260	330.22100	20.7980	19.552	3.373	21.795	
39.53360	295.6630	1.90383	45.7250	20.271	-12.732	17.576	
27.77970	10.1843	6.26253	116.9210	26.865	-1.003	21.767	
41.46440	211.4170	342.07300	148.5830	18.682	-13.406	27.869	
