1.15094	19.552	3.373	21.795	20.798	330.221	110.826	0.967273	0.895149	0.876123
36.5716	44.882	-14.135	40.52	168.139	47.6772	122.876	0.896224	0.801089	0.809599
44.4976	44.664	-14.559	53.491	0	89.9569	0	0.906853	0.77317	0.805712
14.5901	25.156	-8.299	27.005	243.163	2.19491	333.083	0.910176	0.754766	0.801308
47.7384	52.302	-16.056	49.865	292.909	281.388	292.909	0.902352	0.741493	0.793021
36.5957	40.324	-12.248	47.138	269.901	305.384	90.099	0.886381	0.746929	0.786827
8.67624	22.471	-0.257	29.009	109.334	325.402	83.8374	0.865165	0.700661	0.76097
22.2277	32.492	-10.764	31.814	135.284	25.6029	92.1463	0.841284	0.670757	0.739174
7.31772	19.806	11.089	23.911	284.553	43.3327	284.553	0.82905	0.638594	0.722457
51.5175	52.443	-12.281	57.856	10.5033	355.651	44.8604	0.811955	0.624681	0.709324
8.93855	20.005	-3.697	18.018	36.1883	65.7078	233.838	0.818948	0.596759	0.703618
11.0678	14.857	-6.075	24.733	177.574	333.131	154.209	0.80679	0.599418	0.698416
18.2453	18.682	-13.406	27.869	148.583	342.073	211.417	0.795964	0.599252	0.692948
52.8492	48.91	-20.521	58.249	11.2889	334.625	348.711	0.793878	0.597362	0.691282
9.51183	26.865	-1.003	21.767	116.921	6.26253	10.1843	0.795548	0.587898	0.688998
16.7288	23.41	-3.965	36.37	258.788	334.667	101.212	0.781199	0.585794	0.68113
23.077	25.651	-15.752	32.171	182.695	342.96	252.159	0.784928	0.579137	0.6808
47.6593	39.504	-16.932	59.878	272.664	44.2954	207.48	0.786655	0.575713	0.680535
49.2659	52.429	-23.937	45.11	113.668	314.359	272.727	0.78022	0.584865	0.680334
17.4755	20.271	-12.732	17.576	45.725	1.90383	295.663	0.786055	0.572985	0.679336
58.9297	54.56	-13.261	65.943	332.682	316.6	62.8177	0.770301	0.55378	0.66513
21.7375	26.582	-16.262	23.588	155.664	30.9544	245.689	0.769778	0.5452	0.662041
14.9732	12.265	-8.502	17.381	25.6192	1.9083	225.672	0.764181	0.521661	0.651484
59.7252	47.375	-19.324	69.374	0	270.017	0	0.754302	0.523192	0.647049
45.8457	53.051	-23.176	36.19	323.812	65.7078	306.358	0.747168	0.515845	0.641061
